place,movie_title,rating,year,star_cast
1,Skazani na Shawshank,9.236046615854,1994,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman"
2,Ojciec chrzestny,9.155654638415383,1972,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino"
3,Mroczny Rycerz,8.992639631382675,2008,"Christopher Nolan (dir.), Christian Bale, Heath Ledger"
4,Ojciec chrzestny II,8.983751559067496,1974,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro"
5,Dwunastu gniewnych ludzi,8.954140276957276,1957,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb"
6,Lista Schindlera,8.94095294829906,1993,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes"
7,Władca Pierścieni: Powrót króla,8.934141050149282,2003,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen"
8,Pulp Fiction,8.845360165122122,1994,"Quentin Tarantino (dir.), John Travolta, Uma Thurman"
9,Władca Pierścieni: Drużyna Pierścienia,8.811999263421866,2001,"Peter Jackson (dir.), Elijah Wood, Ian McKellen"
1," Dobry, zły i brzydki",8.787908878563199,1966,"Sergio Leone (dir.), Clint Eastwood, Eli Wallach"
11,Forrest Gump,8.766237216427665,1994,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright"
12,Podziemny krąg,8.747137423686652,1999,"David Fincher (dir.), Brad Pitt, Edward Norton"
13,Władca Pierścieni: Dwie wieże,8.73811419886821,2002,"Peter Jackson (dir.), Elijah Wood, Ian McKellen"
14,Incepcja,8.73244501059314,2010,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt"
15,Gwiezdne wojny: Część V - Imperium kontratakuje,8.697887187366499,1980,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford"
16,Matrix,8.669098305876465,1999,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne"
17,Chłopcy z ferajny,8.653622643589717,1990,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta"
18,Lot nad kukułczym gniazdem,8.63684439062359,1975,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher"
